ref_date,geo,fuel_type,vehicle_type,number_of_vehicles,year,month
2017-01-01,NB,All zero-emission vehicles,Pickup trucks,0,2017,1
2017-01-01,NB,All zero-emission vehicles,Multi-purpose vehicles,2,2017,1
2017-01-01,NB,All zero-emission vehicles,Vans,2,2017,1
2017-01-01,NB,Electric,"Total, vehicle type",1,2017,1
2017-01-01,NB,Electric,Passenger cars,0,2017,1
2017-01-01,NB,Electric,Pickup trucks,0,2017,1
2017-01-01,NB,Electric,Multi-purpose vehicles,1,2017,1
2017-01-01,NB,Electric,Vans,0,2017,1
2017-01-01,NB,Hybrid Electric,"Total, vehicle type",4,2017,1
2017-01-01,NB,Hybrid Electric,Passenger cars,1,2017,1
2017-01-01,NB,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,NB,Hybrid Electric,Multi-purpose vehicles,1,2017,1
2017-01-01,NB,Hybrid Electric,Vans,2,2017,1
2017-01-01,NB,Hybrid Electric,"Total, vehicle type",46,2017,1
2017-01-01,NB,Hybrid Electric,Passenger cars,21,2017,1
2017-01-01,NB,Hybrid Electric,Pickup trucks,0,2017,1
2017-01-01,NB,Hybrid Electric,Multi-purpose vehicles,25,2017,1
2017-01-01,NB,Hybrid Electric,Vans,0,2017,1
2017-01-01,NB,Other,"Total, vehicle type",0,2017,1
2017-01-01,NB,Other,Passenger cars,0,2017,1
2017-01-01,NB,Other,Pickup trucks,0,2017,1
2017-01-01,NB,Other,Multi-purpose vehicles,0,2017,1
2017-01-01,NB,Other,Vans,0,2017,1
2017-01-01,QUE,All fuel types,"Total, vehicle type",90897,2017,1
2017-01-01,QUE,All fuel types,Passenger cars,35319,2017,1
2017-01-01,QUE,All fuel types,Pickup trucks,13900,2017,1
2017-01-01,QUE,All fuel types,Multi-purpose vehicles,36622,2017,1
2017-01-01,QUE,All fuel types,Vans,5056,2017,1
2017-01-01,QUE,Gas,"Total, vehicle type",86725,2017,1
2017-01-01,QUE,Gas,Passenger cars,33703,2017,1
2017-01-01,QUE,Gas,Pickup trucks,12488,2017,1
2017-01-01,QUE,Gas,Multi-purpose vehicles,35871,2017,1
2017-01-01,QUE,Gas,Vans,4663,2017,1
2017-01-01,QUE,Diesel,"Total, vehicle type",1972,2017,1
2017-01-01,QUE,Diesel,Passenger cars,43,2017,1
2017-01-01,QUE,Diesel,Pickup trucks,1412,2017,1
2017-01-01,QUE,Diesel,Multi-purpose vehicles,128,2017,1
2017-01-01,QUE,Diesel,Vans,389,2017,1
2017-01-01,QUE,All zero-emission vehicles,"Total, vehicle type",1247,2017,1
