ref_date,geo,age,gender,statistics,religion_name,total_followers,year,month
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,baptist_7,23565,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,catholic_8,686480,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,christian_orthodox_9,47230,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,jehovahs_witness_10,7420,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,latter_day_saints_11,9200,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,lutheran_12,12365,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,methodist_and_wesleyan_holiness_13,4710,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,pentecostal_and_other_charismatic_14,34325,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,presbyterian_15,10185,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,reformed_16,7895,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,united_church_17,36070,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,other_christian_and_christian_related_traditions_18,43540,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,hindu_19,69550,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,jewish_20,27865,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,muslim_21,227475,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,sikh_22,61840,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,traditional_north_american_indigenous_spirituality_23,11535,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,other_religions_and_spiritual_traditions_24,12455,2021,1
2021-01-01,Canada,0 to 14 years,Women+,2021 Counts,no_religion_and_secular_perspectives_25,1230605,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,total_religion_1,2003200,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,buddhist_2,14970,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,christian_3,995955,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,christian_n_o_s_4,175355,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,anabaptist_5,10230,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,anglican_6,42245,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,baptist_7,19845,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,catholic_8,568010,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,christian_orthodox_9,35395,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,jehovahs_witness_10,5740,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,latter_day_saints_11,6505,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,lutheran_12,12275,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,methodist_and_wesleyan_holiness_13,4600,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,pentecostal_and_other_charismatic_14,25420,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,presbyterian_15,10510,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,reformed_16,5000,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,united_church_17,39695,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,other_christian_and_christian_related_traditions_18,35145,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,hindu_19,42510,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,jewish_20,19280,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,muslim_21,137995,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,sikh_22,46230,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,traditional_north_american_indigenous_spirituality_23,6920,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,other_religions_and_spiritual_traditions_24,9750,2021,1
2021-01-01,Canada,15 to 19 years,Total - Gender,2021 Counts,no_religion_and_secular_perspectives_25,729585,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,total_religion_1,1036235,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,buddhist_2,7570,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,christian_3,512325,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,christian_n_o_s_4,89965,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,anabaptist_5,5280,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,anglican_6,21550,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,baptist_7,10000,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,catholic_8,293575,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,christian_orthodox_9,18270,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,jehovahs_witness_10,2935,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,latter_day_saints_11,3220,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,lutheran_12,6280,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,methodist_and_wesleyan_holiness_13,2425,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,pentecostal_and_other_charismatic_14,12745,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,presbyterian_15,5385,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,reformed_16,2585,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,united_church_17,20320,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,other_christian_and_christian_related_traditions_18,17785,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,hindu_19,22450,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,jewish_20,10055,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,muslim_21,71690,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,sikh_22,24725,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,traditional_north_american_indigenous_spirituality_23,3435,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,other_religions_and_spiritual_traditions_24,4300,2021,1
2021-01-01,Canada,15 to 19 years,Men+,2021 Counts,no_religion_and_secular_perspectives_25,379690,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,total_religion_1,966965,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,buddhist_2,7405,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,christian_3,483630,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,christian_n_o_s_4,85390,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,anabaptist_5,4955,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,anglican_6,20695,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,baptist_7,9845,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,catholic_8,274425,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,christian_orthodox_9,17125,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,jehovahs_witness_10,2805,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,latter_day_saints_11,3280,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,lutheran_12,6000,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,methodist_and_wesleyan_holiness_13,2175,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,pentecostal_and_other_charismatic_14,12675,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,presbyterian_15,5125,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,reformed_16,2410,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,united_church_17,19375,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,other_christian_and_christian_related_traditions_18,17355,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,hindu_19,20060,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,jewish_20,9225,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,muslim_21,66310,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,sikh_22,21500,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,traditional_north_american_indigenous_spirituality_23,3485,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,other_religions_and_spiritual_traditions_24,5450,2021,1
2021-01-01,Canada,15 to 19 years,Women+,2021 Counts,no_religion_and_secular_perspectives_25,349895,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,total_religion_1,2177860,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,buddhist_2,19030,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,christian_3,927985,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,christian_n_o_s_4,172795,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,anabaptist_5,8440,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,anglican_6,37545,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,baptist_7,17875,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,catholic_8,528065,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,christian_orthodox_9,31860,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,jehovahs_witness_10,5170,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,latter_day_saints_11,4710,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,lutheran_12,11130,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,methodist_and_wesleyan_holiness_13,3740,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,pentecostal_and_other_charismatic_14,22350,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,presbyterian_15,10425,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,reformed_16,4670,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,united_church_17,35650,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,other_christian_and_christian_related_traditions_18,33570,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,hindu_19,75840,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,jewish_20,18045,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,muslim_21,134820,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,sikh_22,99530,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,traditional_north_american_indigenous_spirituality_23,5960,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,other_religions_and_spiritual_traditions_24,15075,2021,1
2021-01-01,Canada,20 to 24 years,Total - Gender,2021 Counts,no_religion_and_secular_perspectives_25,881565,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,total_religion_1,1124910,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,buddhist_2,8915,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,christian_3,472830,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,christian_n_o_s_4,85920,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,anabaptist_5,4335,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,anglican_6,19120,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,baptist_7,9245,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,catholic_8,272040,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,christian_orthodox_9,15900,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,jehovahs_witness_10,2480,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,latter_day_saints_11,2345,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,lutheran_12,5645,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,methodist_and_wesleyan_holiness_13,1965,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,pentecostal_and_other_charismatic_14,11205,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,presbyterian_15,5385,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,reformed_16,2325,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,united_church_17,18150,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,other_christian_and_christian_related_traditions_18,16760,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,hindu_19,44355,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,jewish_20,9165,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,muslim_21,70660,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,sikh_22,54795,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,traditional_north_american_indigenous_spirituality_23,2975,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,other_religions_and_spiritual_traditions_24,6465,2021,1
2021-01-01,Canada,20 to 24 years,Men+,2021 Counts,no_religion_and_secular_perspectives_25,454750,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,total_religion_1,1052950,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,buddhist_2,10110,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,christian_3,455155,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,christian_n_o_s_4,86875,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,anabaptist_5,4105,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,anglican_6,18425,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,baptist_7,8630,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,catholic_8,256025,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,christian_orthodox_9,15955,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,jehovahs_witness_10,2685,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,latter_day_saints_11,2365,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,lutheran_12,5480,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,methodist_and_wesleyan_holiness_13,1775,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,pentecostal_and_other_charismatic_14,11145,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,presbyterian_15,5040,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,reformed_16,2345,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,united_church_17,17500,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,other_christian_and_christian_related_traditions_18,16805,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,hindu_19,31480,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,jewish_20,8875,2021,1
2021-01-01,Canada,20 to 24 years,Women+,2021 Counts,muslim_21,64165,2021,1
