REF_DATE,DESC,VALUE,YEAR
2020-11-21,Other international movements,964,2020
2020-11-28,Domestic movements,33477,2020
2020-11-28,Transborder movements,1783,2020
2020-11-28,Other international movements,1002,2020
2020-12-05,Domestic movements,28549,2020
2020-12-05,Transborder movements,1874,2020
2020-12-05,Other international movements,1085,2020
2020-12-12,Domestic movements,25442,2020
2020-12-12,Transborder movements,1933,2020
2020-12-12,Other international movements,1255,2020
2020-12-19,Domestic movements,21254,2020
2020-12-19,Transborder movements,1816,2020
2020-12-19,Other international movements,1204,2020
2020-12-26,Domestic movements,18329,2020
2020-12-26,Transborder movements,1809,2020
2020-12-26,Other international movements,1073,2020
2021-01-02,Domestic movements,23699,2021
2021-01-02,Transborder movements,1930,2021
2021-01-02,Other international movements,1179,2021
2021-01-09,Domestic movements,24930,2021
2021-01-09,Transborder movements,1732,2021
2021-01-09,Other international movements,1106,2021
2021-01-16,Domestic movements,27575,2021
2021-01-16,Transborder movements,1637,2021
2021-01-16,Other international movements,1023,2021
2021-01-23,Domestic movements,25206,2021
2021-01-23,Transborder movements,1582,2021
2021-01-23,Other international movements,941,2021
2021-01-30,Domestic movements,24510,2021
2021-01-30,Transborder movements,1486,2021
2021-01-30,Other international movements,948,2021
2021-02-06,Domestic movements,24192,2021
2021-02-06,Transborder movements,1336,2021
2021-02-06,Other international movements,884,2021
2021-02-13,Domestic movements,24582,2021
2021-02-13,Transborder movements,1198,2021
2021-02-13,Other international movements,765,2021
2021-02-20,Domestic movements,27681,2021
2021-02-20,Transborder movements,1254,2021
2021-02-20,Other international movements,710,2021
2021-02-27,Domestic movements,28357,2021
2021-02-27,Transborder movements,1144,2021
2021-02-27,Other international movements,779,2021
2021-03-06,Domestic movements,33889,2021
2021-03-06,Transborder movements,1221,2021
2021-03-06,Other international movements,781,2021
2021-03-13,Domestic movements,35562,2021
2021-03-13,Transborder movements,1216,2021
2021-03-13,Other international movements,798,2021
2021-03-20,Domestic movements,32665,2021
2021-03-20,Transborder movements,1243,2021
2021-03-20,Other international movements,791,2021
2021-03-27,Domestic movements,28108,2021
2021-03-27,Transborder movements,1312,2021
2021-03-27,Other international movements,788,2021
2021-04-03,Domestic movements,33659,2021
2021-04-03,Transborder movements,1429,2021
2021-04-03,Other international movements,792,2021
2021-04-10,Domestic movements,32757,2021
2021-04-10,Transborder movements,1373,2021
2021-04-10,Other international movements,793,2021
2021-04-17,Domestic movements,33627,2021
2021-04-17,Transborder movements,1368,2021
2021-04-17,Other international movements,814,2021
2021-04-24,Domestic movements,30938,2021
2021-04-24,Transborder movements,1446,2021
2021-04-24,Other international movements,751,2021
2021-05-01,Domestic movements,33197,2021
2021-05-01,Transborder movements,1501,2021
2021-05-01,Other international movements,789,2021
2021-05-08,Domestic movements,36543,2021
2021-05-08,Transborder movements,1465,2021
2021-05-08,Other international movements,776,2021
2021-05-15,Domestic movements,37672,2021
2021-05-15,Transborder movements,1420,2021
2021-05-15,Other international movements,787,2021
2021-05-22,Domestic movements,29305,2021
2021-05-22,Transborder movements,1338,2021
2021-05-22,Other international movements,818,2021
2021-05-29,Domestic movements,39795,2021
2021-05-29,Transborder movements,1541,2021
2021-05-29,Other international movements,814,2021
2021-06-05,Domestic movements,35245,2021
2021-06-05,Transborder movements,1695,2021
2021-06-05,Other international movements,866,2021
2021-06-12,Domestic movements,37607,2021
2021-06-12,Transborder movements,1781,2021
2021-06-12,Other international movements,909,2021
2021-06-19,Domestic movements,40721,2021
2021-06-19,Transborder movements,1787,2021
2021-06-19,Other international movements,925,2021
2021-06-26,Domestic movements,34270,2021
2021-06-26,Transborder movements,1850,2021
2021-06-26,Other international movements,960,2021
2021-07-03,Domestic movements,41572,2021
2021-07-03,Transborder movements,2276,2021
2021-07-03,Other international movements,1040,2021
2021-07-10,Domestic movements,44729,2021
2021-07-10,Transborder movements,2224,2021
2021-07-10,Other international movements,1044,2021
2021-07-17,Domestic movements,42640,2021
2021-07-17,Transborder movements,2347,2021
2021-07-17,Other international movements,1082,2021
2021-07-24,Domestic movements,44564,2021
2021-07-24,Transborder movements,2644,2021
2021-07-24,Other international movements,1097,2021
2021-07-31,Domestic movements,43940,2021
2021-07-31,Transborder movements,2725,2021
2021-07-31,Other international movements,1251,2021
2021-08-07,Domestic movements,41525,2021
2021-08-07,Transborder movements,3200,2021
2021-08-07,Other international movements,1258,2021
2021-08-14,Domestic movements,46528,2021
2021-08-14,Transborder movements,3282,2021
2021-08-14,Other international movements,1368,2021
2021-08-21,Domestic movements,47282,2021
2021-08-21,Transborder movements,3363,2021
2021-08-21,Other international movements,1391,2021
2021-08-28,Domestic movements,47088,2021
2021-08-28,Transborder movements,3501,2021
2021-08-28,Other international movements,1402,2021
2021-09-04,Domestic movements,44435,2021
2021-09-04,Transborder movements,3605,2021
2021-09-04,Other international movements,1472,2021
2021-09-11,Domestic movements,46369,2021
2021-09-11,Transborder movements,3959,2021
2021-09-11,Other international movements,1486,2021
2021-09-18,Domestic movements,45888,2021
2021-09-18,Transborder movements,4235,2021
2021-09-18,Other international movements,1508,2021
2021-09-25,Domestic movements,45804,2021
2021-09-25,Transborder movements,4278,2021
2021-09-25,Other international movements,1539,2021
2021-10-02,Domestic movements,45346,2021
2021-10-02,Transborder movements,4321,2021
2021-10-02,Other international movements,1570,2021
2021-10-09,Domestic movements,40274,2021
2021-10-09,Transborder movements,4738,2021
2021-10-09,Other international movements,1675,2021
2021-10-16,Domestic movements,42693,2021
2021-10-16,Transborder movements,4901,2021
2021-10-16,Other international movements,1762,2021
